,CustomerId,Profit,Recency,Frequency,Monetary,Variance,RFM_group_name,SegmentID,Segment_Name
875,916.0,1342.0,3.0,24.0,64935.49,55.0,Champion,1,złoto
876,917.0,980.0,3.0,16.0,38342.38,36.0,Champion,1,złoto
877,918.0,126.0,5.0,7.0,4173.97,12.0,Loyal Custome,2,srebro
878,919.0,190.0,3.0,8.0,10416.61,15.0,Loyal Custome,1,złoto
879,920.0,204.0,7.0,11.0,8821.47,13.0,Loyal Custome,2,srebro
880,921.0,89.0,28.0,5.0,2508.17,7.0,At Risk,2,srebro
881,922.0,305.0,2.0,18.0,6989.82,12.0,Loyal Custome,1,złoto
882,923.0,14.0,47.0,1.0,223.64,2.0,Hibernating,0,brąz
883,924.0,124.0,4.0,10.0,3114.92,10.0,Potential Loyalist,2,srebro
884,925.0,352.0,3.0,13.0,8001.38,18.0,Loyal Custome,1,złoto
885,926.0,230.0,4.0,6.0,8846.23,14.0,Potential Loyalist,2,srebro
886,927.0,243.0,7.0,18.0,6652.88,23.0,Loyal Custome,1,złoto
887,928.0,143.0,23.0,2.0,7033.32,10.0,Hibernating,0,brąz
888,929.0,130.0,21.0,4.0,9006.19,12.0,Needs Attention,2,srebro
889,930.0,1277.0,6.0,26.0,66846.79,41.0,Loyal Custome,1,złoto
890,931.0,268.0,6.0,3.0,2000.76,3.0,Potential Loyalist,2,srebro
891,932.0,72.0,19.0,5.0,646.65,7.0,About To Sleep,0,brąz
892,933.0,100.0,12.0,8.0,3086.02,10.0,Needs Attention,2,srebro
893,934.0,3851.0,3.0,31.0,233777.88,41.0,Champion,1,złoto
894,935.0,169.0,9.0,12.0,3301.53,10.0,Uncertain,2,srebro
895,936.0,28.0,12.0,5.0,737.9,5.0,About To Sleep,2,srebro
896,937.0,124.0,10.0,11.0,3399.75,7.0,Potential Loyalist,2,srebro
897,938.0,1460.0,3.0,10.0,65198.32,45.0,Loyal Custome,1,złoto
898,939.0,726.0,4.0,14.0,14903.21,21.0,Champion,1,złoto
899,940.0,144.0,3.0,1.0,695.76,1.0,Potential Loyalist,0,brąz
900,943.0,10.0,17.0,5.0,159.33,3.0,About To Sleep,0,brąz
901,944.0,273.0,3.0,35.0,3827.59,15.0,Loyal Custome,1,złoto
902,945.0,262.0,13.0,11.0,8513.0,7.0,Loyal Custome,2,srebro
903,946.0,395.0,6.0,14.0,17208.6,23.0,Loyal Custome,1,złoto
904,947.0,353.0,7.0,19.0,10957.61,27.0,Loyal Custome,1,złoto
905,948.0,90.0,11.0,13.0,8631.27,23.0,Loyal Custome,2,srebro
906,949.0,146.0,4.0,10.0,1076.9,5.0,Potential Loyalist,2,srebro
907,950.0,10.0,21.0,2.0,112.66,2.0,About To Sleep,0,brąz
908,951.0,1401.0,12.0,15.0,167885.56,55.0,Loyal Custome,1,złoto
909,952.0,192.0,4.0,21.0,3447.44,11.0,Uncertain,1,złoto
910,953.0,189.0,1.0,3.0,6876.27,5.0,Potential Loyalist,1,złoto
911,954.0,60.0,5.0,1.0,299.97,1.0,Potential Loyalist,0,brąz
912,955.0,642.0,4.0,13.0,21839.95,30.0,Champion,1,złoto
913,956.0,158.0,7.0,19.0,2841.52,15.0,Uncertain,2,srebro
914,957.0,390.0,4.0,16.0,15809.28,22.0,Champion,1,złoto
915,958.0,243.0,23.0,11.0,11247.9,21.0,Loyal Custome,2,srebro
916,959.0,194.0,4.0,6.0,3804.65,10.0,Potential Loyalist,2,srebro
917,960.0,62.0,48.0,2.0,235.6,1.0,Hibernating,0,brąz
918,961.0,986.0,5.0,13.0,55384.84,40.0,Champion,1,złoto
919,962.0,307.0,10.0,21.0,9710.89,26.0,Loyal Custome,1,złoto
920,963.0,492.0,3.0,24.0,12157.08,37.0,Champion,1,złoto
921,964.0,60.0,10.0,8.0,1273.4,8.0,Potential Loyalist,2,srebro
922,965.0,20.0,61.0,1.0,112.06,1.0,Hibernating,0,brąz
923,966.0,266.0,2.0,13.0,4043.96,6.0,Loyal Custome,1,złoto
924,968.0,21.0,17.0,14.0,395.19,5.0,Uncertain,2,srebro
925,969.0,313.0,28.0,10.0,19130.5,28.0,At Risk,2,srebro
926,970.0,1.0,32.0,1.0,7.29,1.0,Hibernating,0,brąz
927,971.0,197.0,11.0,16.0,2377.08,15.0,At Risk,2,srebro
928,972.0,699.0,3.0,11.0,31420.29,19.0,Loyal Custome,1,złoto
929,973.0,391.0,10.0,22.0,11226.3,18.0,Loyal Custome,1,złoto
930,974.0,705.0,7.0,19.0,25141.43,36.0,Loyal Custome,1,złoto
931,975.0,1306.0,42.0,7.0,176922.55,32.0,At Risk,2,srebro
932,976.0,202.0,3.0,26.0,3318.11,13.0,Uncertain,1,złoto
933,977.0,15.0,3.0,1.0,70.39,1.0,Potential Loyalist,0,brąz
934,978.0,135.0,7.0,6.0,2822.96,8.0,Potential Loyalist,2,srebro
935,979.0,1465.0,3.0,20.0,119739.13,41.0,Champion,1,złoto
936,981.0,110.0,4.0,11.0,2338.45,10.0,Potential Loyalist,2,srebro
937,982.0,508.0,6.0,18.0,21756.97,28.0,Loyal Custome,1,złoto
938,983.0,217.0,4.0,15.0,6566.83,14.0,Loyal Custome,1,złoto
939,984.0,914.0,5.0,19.0,47947.85,36.0,Champion,1,złoto
940,985.0,141.0,13.0,5.0,803.34,5.0,About To Sleep,2,srebro
941,986.0,385.0,6.0,14.0,7040.68,16.0,Loyal Custome,1,złoto
942,987.0,204.0,11.0,2.0,7303.2,4.0,Hibernating,2,srebro
943,988.0,195.0,53.0,5.0,9492.33,3.0,At Risk,2,srebro
944,989.0,176.0,1.0,3.0,6611.06,8.0,Potential Loyalist,1,złoto
945,990.0,170.0,4.0,12.0,4606.59,15.0,Loyal Custome,1,złoto
946,991.0,168.0,13.0,7.0,3126.58,7.0,Needs Attention,2,srebro
947,992.0,1230.0,5.0,33.0,50437.95,29.0,Champion,1,złoto
948,993.0,89.0,2.0,20.0,2293.18,7.0,Uncertain,1,złoto
949,994.0,176.0,34.0,8.0,14005.62,19.0,At Risk,2,srebro
950,995.0,628.0,6.0,12.0,37634.5,16.0,Loyal Custome,1,złoto
951,996.0,1012.0,6.0,13.0,49065.75,32.0,Loyal Custome,1,złoto
952,997.0,415.0,12.0,5.0,20737.35,20.0,At Risk,2,srebro
953,998.0,62.0,4.0,5.0,1514.38,10.0,Potential Loyalist,2,srebro
954,999.0,99.0,5.0,4.0,4879.3,10.0,Potential Loyalist,2,srebro
955,1000.0,28.0,5.0,5.0,263.72,2.0,Potential Loyalist,2,srebro
